iter	Passed	Remaining
0	138	13732
1	141	6943
2	145	4715
3	148	3559
4	151	2874
5	154	2418
6	157	2087
7	160	1841
8	161	1636
9	163	1472
10	165	1341
11	167	1229
12	169	1133
13	171	1053
14	173	983
15	175	919
16	176	863
17	178	814
18	180	769
19	183	732
20	185	696
21	187	663
22	189	633
23	191	606
24	193	580
25	196	558
26	197	535
27	199	513
28	201	493
29	203	475
30	205	457
31	207	441
32	209	425
33	211	410
34	213	395
35	214	381
36	218	371
37	220	360
38	222	348
39	224	337
40	227	326
41	227	314
42	230	306
43	234	298
44	236	288
45	238	280
46	242	273
47	245	265
48	246	256
49	249	249
50	255	245
51	258	238
52	259	230
53	262	223
54	263	215
55	265	208
56	268	202
57	270	195
58	272	189
59	274	182
60	276	176
61	280	171
62	282	165
63	283	159
64	285	153
65	287	148
66	291	143
67	293	138
68	296	133
69	298	127
70	303	123
71	305	118
72	308	114
73	313	110
74	316	105
75	318	100
76	326	97
77	336	94
78	339	90
79	341	85
80	345	80
81	347	76
82	349	71
83	353	67
84	357	63
85	362	58
86	365	54
87	369	50
88	372	46
89	378	42
90	381	37
91	386	33
92	388	29
93	391	25
94	394	20
95	397	16
96	400	12
97	402	8
98	407	4
99	411	0
